HireDate,count_of_hires,multiple_hires,generate a comma separated text file for 110 employees with the following data: UniqueID,LastName,MiddleInitial,FIrstName,Gender,JobTitle,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
2019-03-19,1,False,84,Lee,O,Ollie,Male,Sales Supervisor,Sales,2019-03-19,,75000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-03-15,1,False,57,Moore,N,Nora,Female,Sales Manager,Sales,2019-03-15,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-06-21,1,False,79,Jackson,J,James,Male,HR Director,HR,2019-06-21,,120000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-02-17,1,False,91,Green,V,Vinny,Male,Finance Manager,Finance,2022-02-17,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-09-03,1,False,99,Miller,D,Daniel,Male,Marketing Consultant,Marketing,2023-09-03,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-04-15,1,False,95,Martin,Z,Zara,Female,Graphic Artist,Marketing,2022-04-15,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-05-25,1,False,51,Clark,H,Hugo,Male,Web Developer,IT,2019-05-25,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-12-12,1,False,94,Roberts,Y,Yosef,Male,Product Support Specialist,IT,2020-12-12,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-07-22,1,False,101,Hall,F,Felicia,Female,Technical Writer,IT,2019-07-22,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-11-14,1,False,102,King,G,Grayson,Male,Finance Associate,Finance,2021-11-14,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-12-12,1,False,29,Green,L,Lily,Female,Recruiting Coordinator,HR,2019-12-12,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
